readcode,readterm,medcode,who_region,ons_nomis_region
13f2.00,Born in Bolivia,41230,paho,The Americas & Caribbean
13d5.00,Born in Belorussia,41233,euro,Europe
13fE.00,Born in Honduras,41280,paho,The Americas & Caribbean
13eE.00,Born in Indonesia,41289,searo,Middle East & Asia
13j3.00,Born in Cuba,41290,paho,The Americas & Caribbean
13f6.00,Born in Chile,41291,paho,The Americas & Caribbean
13eK.00,Born in Kazakhstan,41292,euro,Middle East & Asia
13eX.00,Born in Palestine,41297,emro,Middle East & Asia
13el.00,Born in Turkmenistan,41302,euro,Middle East & Asia
13dd.00,Born in Slovenia,41304,euro,Europe
13eJ.00,Born in Jordan,41311,emro,Middle East & Asia
13dJ.00,Born in Iceland,41312,euro,Europe
13g3.00,Born in Botswana,41316,afro,Africa
13g2.00,Born in Benin,41318,afro,Africa
13h..00,Country of birth (Australasian),41327,wpro,Antarctica & Oceania
13d3.00,Born in Azerbaijan,41337,euro,Europe
13gQ.00,Born in Libya,41341,emro,Middle East & Asia
13ep.00,Born in Yemen,41344,emro,Middle East & Asia
13gh.00,Born in Swaziland,41350,afro,Africa
13eS.00,Born in Mongolia,41351,wpro,Middle East & Asia
13e9.00,Born in Democratic People's Republic of Korea,41354,wpro,Middle East & Asia
13ea.00,Born in Republic of Korea,41356,wpro,Middle East & Asia
13dY.00,Born in Republic of Ireland,41357,euro,Europe
13dR.00,Born in Malta,41364,euro,Europe
13gK.00,Born in Guinea Bissau,41365,afro,Africa
13fM.00,Born in Uruguay,41367,paho,The Americas & Caribbean
13em.00,Born in United Arab Emirates,41372,emro,Middle East & Asia
13fI.00,Born in Paraguay,41399,paho,The Americas & Caribbean
13en.00,Born in Uzbekistan,41402,euro,Middle East & Asia
13k0.00,Born in Fiji,42635,wpro,Antarctica & Oceania
13eZ.00,Born in Qatar,42639,emro,Middle East & Asia
13k6.00,Born in Tonga,47559,wpro,Antarctica & Oceania
13k5.00,Born in Solomon Islands,48297,wpro,Antarctica & Oceania
13eB.00,Born in Georgia,49402,euro,Europe
13j..00,Country of birth (Atlantic),49907,NA,NA
13eV.00,Born in Oman,51778,emro,Middle East & Asia
13eA.00,Born in East Timor,57186,searo,Middle East & Asia
13k7.00,Born in Tuvalu,57189,wpro,Antarctica & Oceania
13j5.00,Born in Haiti,58192,paho,The Americas & Caribbean
13g4.00,Born in Burkina Faso,58527,afro,Africa
13j1.00,Born in Bahamas,58533,paho,The Americas & Caribbean
13gH.00,Born in Gabon,59657,afro,Africa
13e5.00,Born in Brunei,62298,wpro,Middle East & Asia
13fH.00,Born in Panama,63923,paho,The Americas & Caribbean
13gj.00,Born in The Gambia,63927,afro,Africa
13fA.00,Born in El Salvador,63943,paho,The Americas & Caribbean
13k3.00,Born in Papua New Guinea,64120,wpro,Antarctica & Oceania
13gp.00,Born in Eritrea,64949,afro,Africa
