metadata,category,readcode,readterm,medcode
,15,9iD1.00,Nigerian - ethnic category 2001 census,32886
,16,9S4..00,"Black, other, non-mixed origin",24339
,16,9S41.00,Black British,12452
,16,9S43.00,Black N African/Arab/Iranian,41329
,16,9S43.11,Black North African,46812
,16,9S43.12,Black Arab,57752
,16,9S43.13,Black Iranian,50286
,16,9S48.00,Black Black - other,26312
,16,9S5..00,"Black - other, mixed",25676
,16,9SG..00,Other black ethnic group,32136
,16,9iD..00,Other Black background - ethnic category 2001 census,32389
,16,9iD2.00,Black British - ethnic category 2001 census,40097
,16,9iD3.00,Mixed Black - ethnic category 2001 census,40096
,16,9iD4.00,Other Black or Black unspecified ethnic category 2001 census,46047
,17,9S9..00,Chinese,24272
,17,9iE..00,Chinese - ethnic category 2001 census,12468
,18,9SA..00,Other ethnic non-mixed (NMO),30280
,18,9SA1.00,Brit. ethnic minor. spec.(NMO),32110
,18,9SA2.00,Brit. ethnic minor. unsp (NMO),57764
,18,9SA4.00,N African Arab/Iranian (NMO),24962
,18,9SA4.11,North African Arab (NMO),47285
,18,9SA4.12,Iranian (NMO),25082
,18,9SAD.00,Other ethnic NEC (NMO),41214
,18,9SC..00,Vietnamese,25411
,18,9SJ..00,Other ethnic group,12757
,18,9T1A.00,Other Pacific ethnic group,46752
,18,9iA4.00,Sri Lankan - ethnic category 2001 census,12608
,18,9iA5.00,Tamil - ethnic category 2001 census,12760
,18,9iA6.00,Sinhalese - ethnic category 2001 census,12887
,18,9iF..00,Other - ethnic category 2001 census,12434
,18,9iF0.00,Vietnamese - ethnic category 2001 census,12719
,18,9iF1.00,Japanese - ethnic category 2001 census,12473
,18,9iF2.00,Filipino - ethnic category 2001 census,12420
,18,9iF3.00,Malaysian - ethnic category 2001 census,12730
,18,9iF4.00,Buddhist - ethnic category 2001 census,63872
,18,9iF5.00,Hindu - ethnic category 2001 census,56127
,18,9iF6.00,Jewish - ethnic category 2001 census,46063
,18,9iF7.00,Muslim - ethnic category 2001 census,47091
,18,9iF8.00,Sikh - ethnic category 2001 census,49658
,18,9iF9.00,Arab - ethnic category 2001 census,46059
,18,9iFA.00,North African - ethnic category 2001 census,47028
,18,9iFB.00,"Mid East (excl Israeli, Iranian & Arab) - eth cat 2001 cens",28909
,18,9iFC.00,Israeli - ethnic category 2001 census,46964
,18,9iFD.00,Iranian - ethnic category 2001 census,25937
,18,9iFE.00,Kurdish - ethnic category 2001 census,45964
,18,9iFF.00,Moroccan - ethnic category 2001 census,25451
,18,9iFG.00,Latin American - ethnic category 2001 census,26246
,18,9iFH.00,South and Central American - ethnic category 2001 census,12756
,18,9iFJ.00,Mauritian/Seychellois/Maldivian/St Helena eth cat 2001census,32382
,18,9iFK.00,Any other group - ethnic category 2001 census,26455
,19,916E.00,Patient ethnicity unknown,93749
,19,9S...00,Ethnic groups (1991 census),10196
,19,9SD..00,Ethnic group not given - patient refused,12429
,19,9SE..00,Ethnic group not recorded,24340
,19,9SZ..00,Ethnic groups (census) NOS,45199
,19,9T...00,Ethnicity and other related nationality data,23955
,19,9i...00,Ethnic category - 2001 census,12435
,19,9i0..00,British or mixed British - ethnic category 2001 census,12351
,19,9iG..00,Ethnic category not stated - 2001 census,12459
