metadata,category,readcode,readterm,medcode
,3,13lh.00,Main spoken language Flemish,56879
,3,13b3.00,Creole language,57462
,3,13ll.00,Main spoken language Hebrew,57755
,3,13lq.00,Main spoken language Norwegian,57758
,3,13l7.00,Main spoken language Hausa,58193
,3,13lr.00,Main spoken language Pashto,58643
,3,13sA.00,English as a second language,63932
,3,13ls.00,Main spoken language Patois,64948
,3,13la.00,Main spoken language Ukrainian,66685
,3,13lg.00,Main spoken language Ethiopian,69139
,3,13lo.00,Main spoken language Luganda,69153
,3,13lA.00,Main spoken language Kutchi,72379
,3,13lk.00,Main spoken language Hakka,91422
,3,ZV60012,[V]Social migrant,93643
,3,13u0.00,Main spoken language Bulgarian,95897
,3,13ur.00,Main spoken language Latvian,95940
,3,13lT.11,Main spoken language Serbo-Croatian,95968
,3,13lt.11,Main spoken language Serbo-Croatian,95969
,3,13lO.11,Main spoken language Persian,95970
,3,13lu.11,Main spoken language Sinhalese,95974
,3,13w1.00,Main spoken language Nepali,95978
,3,13ua.00,Main spoken language Hungarian,96041
,3,13lE.11,Main spoken language Panjabi,96147
,3,13u5.00,Main spoken language Afrikaans,96148
,3,13u1.00,Main spoken language Romanian,96152
,3,13wL.00,Main spoken language Telugu,96163
,3,13wR.00,Main spoken language Twi,96223
,3,13wG.00,Main spoken language Slovenian,96230
,3,13wD.00,Main spoken language Sindhi,96240
,3,13ux.00,Main spoken language Marathi,96267
,3,13uj.00,Main spoken language Kannada,96268
,3,13uN.00,Main spoken language Danish,96289
,3,13u6.00,Main spoken language Armenian,96290
,3,13w5.00,Main spoken language Quechua,96317
,3,13uv.00,Main spoken language Maltese,96370
,3,13uu.00,Main spoken language Malay,96376
,3,13le.00,Main spoken language Brawa,96485
,3,13wM.00,Main spoken language Tibetan,96558
,3,13uG.00,Main spoken language Burmese,96559
,3,13uT.00,Main spoken language Finnish,96560
,3,13us.00,Main spoken language Macedonian,96611
,3,13wN.00,Main spoken language Tongan,96634
,3,13wT.00,Main spoken language Uzbek,96784
,3,13u2.00,Main spoken language Oromo,96857
,3,13u4.00,Main spoken language Afar,96868
,3,13wa.00,Main spoken language Zulu,96873
,3,13uQ.00,Main spoken language Estonian,96928
,3,13uk.00,Main spoken language Kashmiri,97015
,3,13uz.00,Main spoken language Mongolian,97038
,3,13wW.00,Main spoken language Wolof,97039
,3,13wQ.00,Main spoken language Turkmen,97041
,3,13u9.00,Main spoken language Azerbaijani,97083
,3,13wH.00,Main spoken language Sundanese,97131
,3,13uX.00,Main spoken language Georgian,97212
,3,13wX.00,Main spoken language Xhosa,97273
,3,13uc.00,Main spoken language Indonesian,97274
,3,13w3.00,Main spoken language Oriya,97297
,3,9NUC.11,Persian language interpreter needed,97298
,3,13wB.00,Main spoken language Southern Sotho,97439
,3,13w6.00,Main spoken language Romansh,97440
,3,13uB.00,Main spoken language Basque,97574
,3,13ul.00,Main spoken language Kazakh,97595
,3,9NUz.00,Bulgarian language interpreter needed,97644
,3,13wP.00,Main spoken language Tsonga,97685
,3,13uK.00,Main spoken language Catalan,97997
,3,9Nmm.00,Burmese language interpreter needed,98062
,3,13uZ.00,Main spoken language Guarani,98070
,3,13up.00,Main spoken language Lao,98132
,3,13um.00,Main spoken language Kinyarwanda,98194
,3,13uy.00,Main spoken language Moldavian,98215
,3,13uw.00,Main spoken language Maori,98255
,3,13w4.00,Main spoken language Filipino,98285
,3,13uY.00,Main spoken language Kalaallisut,98510
,3,13ub.00,Main spoken language Icelandic,98604
,3,13u8.00,Main spoken language Aymara,98762
,3,9NmQ.00,Hungarian language interpreter needed,98809
,3,9NUy.00,Romanian language interpreter needed,98841
,3,13wS.00,Main spoken language Uighur,99712
,3,9Nn1.00,Tsonga language interpreter needed,99794
,3,13ui.00,Main spoken language Javanese,100011
,3,13uL.00,Main spoken language Slovak,100013
,3,9NmA.00,Macedonian language interpreter needed,100438
,3,13uR.00,Main spoken language Faeroese,100707
,3,13uS.00,Main spoken language Fijian,100714
,3,13ug.00,Main spoken language Inuktitut,100716
,3,13uW.00,Main spoken language Galician,100743
,3,9Nn7.00,Slovenian language interpreter needed,100759
,3,13uH.00,Main spoken language Belarusian,100828
,3,13uD.00,Main spoken language Bihari,100949
,3,13wb.00,Main spoken language Konkani,101038
,3,13uJ.00,Main spoken language Central Khmer,101189
,3,13wA.00,Main spoken language Dari,101220
,3,9Nn4.00,Telugu language interpreter needed,101614
,3,13ut.00,Main spoken language Malagasy,101620
,3,13ud.00,Main spoken language Interlingua,101659
,3,13l9.11,Main spoken language Iban,101761
,3,13uM.00,Main spoken language Corsican,101788
,3,9NUc.11,Punjabi language interpreter needed,101814
,3,13uY.11,Main spoken language Greenlandic,102007
,3,13uC.00,Main spoken language Dzongkha,102127
,3,13uF.00,Main spoken language Breton,102128
,3,13ue.00,Main spoken language Interlingue,102129
,3,13u3.00,Main spoken language Abkhazian,102184
,3,13u7.00,Main spoken language Assamese,102218
,3,13uA.00,Main spoken language Bashkir,102259
,3,13wC.00,Main spoken language Tswana,102877
,3,13uV.00,Main spoken language Frisian,103200
,3,13w7.00,Main spoken language Samoan,103219
,3,13uq.00,Main spoken language Bamun,104071
,3,9NmC.00,Latvian language interpreter needed,104635
,3,13wE.00,Main spoken language Ndebele,104886
,3,9Nm6.00,Brawa language interpreter needed,104901
,3,9Nmd.00,Catalan language interpreter needed,105079
,3,13wV.00,Main spoken language Tetum,105523
,3,13wc.00,Main spoken language Aragonese,105529
,3,13wJ.00,Main spoken language Tajik,105960
,3,13Z6900,First language not English,108098
,3,9Nn6.00,Turkmen language interpreter needed,108184
,3,9NmE.00,Kinyarwanda language interpreter needed,109489
,3,13l6.11,Main spoken language Gujarati,109896
,3,13wF.00,Main spoken language Swati,111709
,3,13w0.00,Main spoken language Nauru,111734
,3,9Nm1.00,Moldavian language interpreter needed,111788
,3,13wZ.00,Main spoken language Zhuang,111789
,3,13wY.00,Main spoken language Yiddish,111874
,3,13w8.00,Main spoken language Sango,111919
,3,9NnC.00,Sundanese language interpreter needed,112222
,3,13uo.00,Main spoken language Rundi,112260
,3,13wK.00,Main spoken language Tatar,112321
,3,13lD.00,Main spoken language Portuguese,32728
,4,13ZC.00,Immigrant,4114
,4,ZV70314,[V]Immigration medical,8929
,4,133L.00,Immigrant,9292
,4,13ZN.00,Asylum seeker,9627
,4,13D3.00,Social migrant,23398
,4,13ZB.00,Refugee,24403
,4,ZV70516,[V]Refugee health examination,25632
,4,13D4.00,Illegal migrant,44407
,4,133Q.00,Family reunion immigrant,47073
,4,912H.00,Overseas visitor,47513
,4,6951,Immigration examination,48029
,4,69D8.00,Exam. of refugee,65503
,4,13Zd.00,Failed asylum seeker,94906
,4,13Zw.00,Has United Kingdom student visa,104123
,4,918z.00,Has United Kingdom general visitor visa,107572
